ID,PROPINSI,KABUPATEN,KECAMATAN,KELURAHAN,KODEPOS
0,-,-,-,-,-
71529,Sumatera Barat,Agam,Ampek Nagari (IV Nagari ),Batu Kambing,26161
71530,Sumatera Barat,Agam,Ampek Nagari (IV Nagari ),Bawan,26161
71531,Sumatera Barat,Agam,Ampek Nagari (IV Nagari ),Sitalang,26161
71532,Sumatera Barat,Agam,Ampek Nagari (IV Nagari ),Sitanang,26161
71533,Sumatera Barat,Agam,Banuhampu,Cingkariang,26181
71534,Sumatera Barat,Agam,Banuhampu,Kubang Putiah,26181
71535,Sumatera Barat,Agam,Banuhampu,Ladang Laweh,26181
71536,Sumatera Barat,Agam,Banuhampu,Padang Lua,26181
71537,Sumatera Barat,Agam,Banuhampu,Pakan Sinayan,26181
71538,Sumatera Barat,Agam,Banuhampu,Taluak Ampek Suku,26181
71539,Sumatera Barat,Agam,Baso,Bungo Koto Tuo,26192
71540,Sumatera Barat,Agam,Baso,Koto Baru III Jorong,26192
71541,Sumatera Barat,Agam,Baso,Koto Tinggi,26192
71542,Sumatera Barat,Agam,Baso,Padang Tarok,26192
71543,Sumatera Barat,Agam,Baso,Salo,26192
71544,Sumatera Barat,Agam,Baso,Simarasok,26192
71545,Sumatera Barat,Agam,Baso,Tabek Panjang,26192
71546,Sumatera Barat,Agam,Candung,Bukik Batabuah,26191
71547,Sumatera Barat,Agam,Candung,Canduang Koto Laweh,26191
71548,Sumatera Barat,Agam,Candung,Lasi,26191
71549,Sumatera Barat,Agam,IV Angkat Candung (Ampek Angkek),Ampang Gadang,26191
71550,Sumatera Barat,Agam,IV Angkat Candung (Ampek Angkek),Balai Gurah,26191
71551,Sumatera Barat,Agam,IV Angkat Candung (Ampek Angkek),Batu Taba,26191
71552,Sumatera Barat,Agam,IV Angkat Candung (Ampek Angkek),Biaro Gadang,26191
71553,Sumatera Barat,Agam,IV Angkat Candung (Ampek Angkek),Lambah,26191
71554,Sumatera Barat,Agam,IV Angkat Candung (Ampek Angkek),Panampung,26191
71555,Sumatera Barat,Agam,IV Angkat Candung (Ampek Angkek),Pasia,26191
71556,Sumatera Barat,Agam,IV Koto (Ampek Koto),Balingka,26161
71557,Sumatera Barat,Agam,IV Koto (Ampek Koto),Guguk Tabek Sarajo,26161
71558,Sumatera Barat,Agam,IV Koto (Ampek Koto),Koto Gadang,26161
71559,Sumatera Barat,Agam,IV Koto (Ampek Koto),Koto Panjang,26161
71560,Sumatera Barat,Agam,IV Koto (Ampek Koto),Koto Tuo,26161
71561,Sumatera Barat,Agam,IV Koto (Ampek Koto),Sianok Anam Suku,26161
71562,Sumatera Barat,Agam,IV Koto (Ampek Koto),Sungai Landia,26161
71563,Sumatera Barat,Agam,Kamang Magek,Kamang Hilia,26152
71564,Sumatera Barat,Agam,Kamang Magek,Kamang Mudiak,26152
71565,Sumatera Barat,Agam,Kamang Magek,Magek,26152
71566,Sumatera Barat,Agam,Lubuk Basung,Geragahan,26451
71567,Sumatera Barat,Agam,Lubuk Basung,Kampung Pinang,26451
71568,Sumatera Barat,Agam,Lubuk Basung,Kampung Tangah,26451
71569,Sumatera Barat,Agam,Lubuk Basung,Lubuk Basung,26451
71570,Sumatera Barat,Agam,Lubuk Basung,Manggopoh,26451
71571,Sumatera Barat,Agam,Malakak,Malalak Barat,26161
71572,Sumatera Barat,Agam,Malakak,Malalak Selatan,26161
71573,Sumatera Barat,Agam,Malakak,Malalak Timur,26161
71574,Sumatera Barat,Agam,Malakak,Malalak Utara,26161
71575,Sumatera Barat,Agam,Matur,Lawang,26162
71576,Sumatera Barat,Agam,Matur,Matur Hilia,26162
71577,Sumatera Barat,Agam,Matur,Matur Mudiak,26162
71578,Sumatera Barat,Agam,Matur,Panta Pauh,26162
71579,Sumatera Barat,Agam,Matur,Parik Panjang,26162
71580,Sumatera Barat,Agam,Matur,Tigo Balai,26162
71581,Sumatera Barat,Agam,Palembayan,Ampek Koto Palembayan,26164
71582,Sumatera Barat,Agam,Palembayan,Baringin,26164
71583,Sumatera Barat,Agam,Palembayan,Salareh Aia,26164
71584,Sumatera Barat,Agam,Palembayan,Sipinang,26164
71585,Sumatera Barat,Agam,Palembayan,Sungai Puar,26164
71586,Sumatera Barat,Agam,Palembayan,Tigo Koto Silungkang,26164
71587,Sumatera Barat,Agam,Palupuh,Koto Rantang,26151
71588,Sumatera Barat,Agam,Palupuh,Nan Tujuah,26151
71589,Sumatera Barat,Agam,Palupuh,Pagadih,26151
71590,Sumatera Barat,Agam,Palupuh,Pasia Laweh,26151
71591,Sumatera Barat,Agam,Sungai Pua (Puar),Batagak,26181
71592,Sumatera Barat,Agam,Sungai Pua (Puar),Batu Palano,26181
71593,Sumatera Barat,Agam,Sungai Pua (Puar),Padang Laweh,26181
71594,Sumatera Barat,Agam,Sungai Pua (Puar),Sariak,26181
71595,Sumatera Barat,Agam,Sungai Pua (Puar),Sungai Pua,26181
71596,Sumatera Barat,Agam,Tanjung Mutiara,Tiku Limo Jorong,26473
71597,Sumatera Barat,Agam,Tanjung Mutiara,Tiku Selatan,26473
71598,Sumatera Barat,Agam,Tanjung Mutiara,Tiku Utara,26473
71599,Sumatera Barat,Agam,Tanjung Raya,Bayua,26471
71600,Sumatera Barat,Agam,Tanjung Raya,Duo Koto,26471
71601,Sumatera Barat,Agam,Tanjung Raya,Koto Gadang,26471
71602,Sumatera Barat,Agam,Tanjung Raya,Koto Kaciak,26471
71603,Sumatera Barat,Agam,Tanjung Raya,Koto Malintang,26471
71604,Sumatera Barat,Agam,Tanjung Raya,Maninjau,26471
71605,Sumatera Barat,Agam,Tanjung Raya,Paninjauan,26471
71606,Sumatera Barat,Agam,Tanjung Raya,Sungai Batang,26471
71607,Sumatera Barat,Agam,Tanjung Raya,Tanjung Sani,26471
71608,Sumatera Barat,Agam,Tilatang Kamang,Gaduk,26152
71609,Sumatera Barat,Agam,Tilatang Kamang,Kapau,26152
71610,Sumatera Barat,Agam,Tilatang Kamang,Koto Tangah,26152
71611,Sumatera Barat,Bukittinggi,Aur Birugo Tigo Baleh,Aur Kuning,26131
71612,Sumatera Barat,Bukittinggi,Aur Birugo Tigo Baleh,Belakang Balok,26136
71613,Sumatera Barat,Bukittinggi,Aur Birugo Tigo Baleh,Birugo,26138
71614,Sumatera Barat,Bukittinggi,Aur Birugo Tigo Baleh,Kubu Tanjung,26133
71615,Sumatera Barat,Bukittinggi,Aur Birugo Tigo Baleh,Ladang Cakiah,26135
71616,Sumatera Barat,Bukittinggi,Aur Birugo Tigo Baleh,Pakan Labuh/Labuah,26134
71617,Sumatera Barat,Bukittinggi,Aur Birugo Tigo Baleh,Parit Antang,26132
71618,Sumatera Barat,Bukittinggi,Aur Birugo Tigo Baleh,Sapiran,26137
71619,Sumatera Barat,Bukittinggi,Guguk Panjang (Guguak Panjang),Aur Tajungkang Tengah Sawah,26111
71620,Sumatera Barat,Bukittinggi,Guguk Panjang (Guguak Panjang),Benteng Pasar Atas,26113
71621,Sumatera Barat,Bukittinggi,Guguk Panjang (Guguak Panjang),Bukit Apit Puhun,26114
71622,Sumatera Barat,Bukittinggi,Guguk Panjang (Guguak Panjang),Bukit Cangang Kayu Ramang,26116
71623,Sumatera Barat,Bukittinggi,Guguk Panjang (Guguak Panjang),Kayu Kubu,26115
71624,Sumatera Barat,Bukittinggi,Guguk Panjang (Guguak Panjang),Pakan Kurai,26112
71625,Sumatera Barat,Bukittinggi,Guguk Panjang (Guguak Panjang),Tarok Dipo,26117
71626,Sumatera Barat,Bukittinggi,Mandiangin Koto Selayan,Campago Guguk Bulek,26128
71627,Sumatera Barat,Bukittinggi,Mandiangin Koto Selayan,Campago Ipuh,26121
71628,Sumatera Barat,Bukittinggi,Mandiangin Koto Selayan,Garegeh,26127
71629,Sumatera Barat,Bukittinggi,Mandiangin Koto Selayan,Koto Selayan,26126
71630,Sumatera Barat,Bukittinggi,Mandiangin Koto Selayan,Kubu Gulai Bancah,26122
71631,Sumatera Barat,Bukittinggi,Mandiangin Koto Selayan,Manggis Ganting,26129
71632,Sumatera Barat,Bukittinggi,Mandiangin Koto Selayan,Puhun Pintu Kabun,26123
71633,Sumatera Barat,Bukittinggi,Mandiangin Koto Selayan,Puhun Tembok,26124
71634,Sumatera Barat,Bukittinggi,Mandiangin Koto Selayan,Pulai Anak Air,26125
71635,Sumatera Barat,Dharmasraya,Asam Jujuhan,Alahan Nan Tigo,27684
71636,Sumatera Barat,Dharmasraya,Asam Jujuhan,Lubuk Besar,27684
71637,Sumatera Barat,Dharmasraya,Asam Jujuhan,Sei/Sungai Limau,27684
71638,Sumatera Barat,Dharmasraya,Asam Jujuhan,Sinamar,27684
71639,Sumatera Barat,Dharmasraya,Asam Jujuhan,Tanjung Alam,27684
71640,Sumatera Barat,Dharmasraya,Koto Baru,Ampang Kuranji,27681
71641,Sumatera Barat,Dharmasraya,Koto Baru,Koto Baru,27681
71642,Sumatera Barat,Dharmasraya,Koto Baru,Koto Padang,27681
71643,Sumatera Barat,Dharmasraya,Koto Baru,Sialang Gaung,27681
71644,Sumatera Barat,Dharmasraya,Koto Besar,Abai Siat,27684
71645,Sumatera Barat,Dharmasraya,Koto Besar,Bonjol,27684
71646,Sumatera Barat,Dharmasraya,Koto Besar,Koto Besar,27684
71647,Sumatera Barat,Dharmasraya,Koto Besar,Koto Gadang,27684
71648,Sumatera Barat,Dharmasraya,Koto Besar,Koto Laweh,27684
71649,Sumatera Barat,Dharmasraya,Koto Besar,Koto Ranah,27684
